SMILES,groups,score
CN(CNCCCOC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CNCCCOC,0
N(CCCCC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,&CCCCC,0
CCCCCNCN(P)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCCCNC&P,0
CN(CCCC(P)NC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCCC(P)NC,0
CN(CNCCCCO)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CNCCCCO,0
CN(CNCCCNC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CNCCCNC,0
CN(CCNCCNC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCNCCNC,0
CN(CCCCNOC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCCCNOC,0
CN(CCSCCNC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCSCCNC,0
CN(CCCCNSC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCCCNSC,0
CN(CNCCCCCl)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CNCCCCCl,0
CCCCCNCN(S)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCCCNC&S,0
CNCCC(C)CN(Cl)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CNCCC(C)C&Cl,0
N(CCCCN)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,&CCCCN,0
CCCCN(C)CN(N)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCCN(C)C&N,0
CCCCCNCN(Cl)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCCCNC&Cl,0
CN(CCCCNCC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCCCNCC,0
CN(CCPCCNC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCPCCNC,0
CN(CNCCCSC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CNCCCSC,0
CCC(C)CNCN(P)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCC(C)CNC&P,0
CN(CCCCCNC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCCCCNC,0
CN(CCCC(C)NC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCCC(C)NC,0
CCCCNCCN(S)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCCNCC&S,0
CN(CCCCPNC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCCCPNC,0
CN(CNCCCCN)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CNCCCCN,0
CN(CCCCN(C)S)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCCCN(C)S,0
N(CCCNC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,&CCCNC,0
CCCCCNCN(O)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCCCNC&O,0
CN(CCCOCNC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCCOCNC,0
CCC(C)CNCN(S)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCC(C)CNC&S,0
CN(CCCCNNC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCCCNNC,0
CCCCNOCN(P)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCCNOC&P,0
CN(CNCCCCS)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CNCCCCS,0
CN(CCCSCNC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCCSCNC,0
CN(CCCCN(C)C)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCCCN(C)C,0
CN(CCC(O)CNC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCC(O)CNC,0
CN(CCCCSNC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCCCSNC,0
CN(CCC(C)CNC)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CCC(C)CNC,0
CCCC(C)NCN(P)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCC(C)NC&P,0
CN(CNCCC(C)P)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CNCCC(C)P,0
CN(CNCCC(C)C)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C&CNCCC(C)C,0
CCCCCNCN(N)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCCCNC&N,0
CCCCNCCN(P)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCCNCC&P,0
